Timestep,Region,ch4em
2662,USA,113
USA,2663,113
2663,USA,113
USA,2664,113
2664,USA,113
USA,2665,113
2665,USA,113
USA,2666,113
2666,USA,113
USA,2667,113
2667,USA,113
USA,2668,113
2668,USA,113
USA,2669,113
2669,USA,113
USA,2670,113
2670,USA,113
USA,2671,113
2671,USA,113
USA,2672,113
2672,USA,113
USA,2673,113
2673,USA,113
USA,2674,113
2674,USA,113
USA,2675,113
2675,USA,113
USA,2676,113
2676,USA,113
USA,2677,113
2677,USA,113
USA,2678,113
2678,USA,113
USA,2679,113
2679,USA,113
USA,2680,113
2680,USA,113
USA,2681,113
2681,USA,113
USA,2682,113
2682,USA,113
USA,2683,113
2683,USA,113
USA,2684,113
2684,USA,113
USA,2685,113
2685,USA,113
USA,2686,113
2686,USA,113
USA,2687,113
2687,USA,113
USA,2688,113
2688,USA,113
USA,2689,113
2689,USA,113
USA,2690,113
2690,USA,113
USA,2691,113
2691,USA,113
USA,2692,113
2692,USA,113
USA,2693,113
2693,USA,113
USA,2694,113
2694,USA,113
USA,2695,113
2695,USA,113
USA,2696,113
2696,USA,113
USA,2697,113
2697,USA,113
USA,2698,113
2698,USA,113
USA,2699,113
2699,USA,113
USA,2700,113
2700,USA,113
USA,2701,113
2701,USA,113
USA,2702,113
2702,USA,113
USA,2703,113
2703,USA,113
USA,2704,113
2704,USA,113
USA,2705,113
2705,USA,113
USA,2706,113
2706,USA,113
USA,2707,113
2707,USA,113
USA,2708,113
2708,USA,113
USA,2709,113
2709,USA,113
USA,2710,113
2710,USA,113
USA,2711,113
2711,USA,113
USA,2712,113
2712,USA,113
USA,2713,113
2713,USA,113
USA,2714,113
2714,USA,113
USA,2715,113
2715,USA,113
USA,2716,113
2716,USA,113
USA,2717,113
2717,USA,113
USA,2718,113
2718,USA,113
USA,2719,113
2719,USA,113
USA,2720,113
2720,USA,113
USA,2721,113
2721,USA,113
USA,2722,113
2722,USA,113
USA,2723,113
2723,USA,113
USA,2724,113
2724,USA,113
USA,2725,113
2725,USA,113
USA,2726,113
2726,USA,113
USA,2727,113
2727,USA,113
USA,2728,113
2728,USA,113
USA,2729,113
2729,USA,113
USA,2730,113
2730,USA,113
USA,2731,113
2731,USA,113
USA,2732,113
2732,USA,113
USA,2733,113
2733,USA,113
USA,2734,113
2734,USA,113
USA,2735,113
2735,USA,113
USA,2736,113
2736,USA,113
USA,2737,113
2737,USA,113
USA,2738,113
2738,USA,113
USA,2739,113
