Region,Region,migrate
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,2
USA,,2
,CAN,1
CAN,,1
,WEU,2
WEU,,2
,JPK,1
JPK,,1
,ANZ,1
ANZ,,1
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,82.98795005781801
MAF,,82.98795005781801
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,2
USA,,2
,CAN,2
CAN,,2
,WEU,2
WEU,,2
,JPK,1
JPK,,1
,ANZ,2
ANZ,,2
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,1
CAM,,1
,LAM,1
LAM,,1
,SAS,1
SAS,,1
,SEA,1
SEA,,1
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,82.98795005781801
SSA,,82.98795005781801
,SIS,1
SIS,,1
,USA,2
USA,,2
,CAN,2
CAN,,2
,WEU,2
WEU,,2
,JPK,2
JPK,,2
,ANZ,2
ANZ,,2
,EEU,1
EEU,,1
,FSU,1
FSU,,1
,MDE,1
MDE,,1
,CAM,2
CAM,,2
,LAM,2
LAM,,2
,SAS,2
SAS,,2
,SEA,2
SEA,,2
,CHI,1
CHI,,1
,MAF,1
MAF,,1
,SSA,1
SSA,,1
,SIS,1
SIS,,1
,USA,
USA,,
,CAN,
CAN,,
,WEU,
WEU,,
,JPK,
JPK,,
,ANZ,
ANZ,,
,EEU,
EEU,,
,FSU,
FSU,,
,MDE,
MDE,,
,CAM,
CAM,,
,LAM,
LAM,,
,SAS,
SAS,,
,SEA,
SEA,,
,CHI,
CHI,,
,MAF,
MAF,,
,SSA,
SSA,,
,SIS,
SIS,,
beta,USA,0.009901951359278516
USA,beta,0.009901951359278516
beta,CAN,0.05
CAN,beta,0.05
beta,WEU,0.02
WEU,beta,0.02
beta,JPK,0.01
JPK,beta,0.01
beta,ANZ,0.02
ANZ,beta,0.02
beta,EEU,0.001
EEU,beta,0.001
beta,FSU,0.001
FSU,beta,0.001
beta,MDE,0.001
MDE,beta,0.001
beta,CAM,0.001
CAM,beta,0.001
beta,LAM,0.001
LAM,beta,0.001
beta,SAS,0.001
SAS,beta,0.001
beta,SEA,0.001
SEA,beta,0.001
beta,CHI,0.001
CHI,beta,0.001
beta,MAF,0.001
MAF,beta,0.001
beta,SSA,0.001
SSA,beta,0.001
beta,SIS,0.001
SIS,beta,0.001
,USA,0.05
USA,,0.05
,CAN,0.009901951359278516
CAN,,0.009901951359278516
,WEU,0.02
WEU,,0.02
,JPK,0.01
JPK,,0.01
,ANZ,0.02
ANZ,,0.02
,EEU,0.001
EEU,,0.001
